Date,Close
2021-05-14,33.25
2021-05-17,34.1
2021-05-18,37.5
2021-05-19,37.5
2021-05-20,37.75
2021-05-21,37.6
2021-05-24,38.0
2021-05-25,36.95
2021-05-26,36.83
2021-05-27,35.5
2021-05-28,35.75
2021-06-01,36.0
2021-06-02,35.26
2021-06-03,37.0
2021-06-04,34.15
2021-06-07,31.42
2021-06-08,28.91
2021-06-09,28.45
2021-06-10,30.33
2021-06-11,29.65
2021-06-14,30.28
2021-06-15,31.81
2021-06-16,30.7
2021-06-17,31.46
2021-06-18,29.98
2021-06-21,29.41
2021-06-22,29.53
2021-06-23,29.5
2021-06-24,29.77
2021-06-25,30.19
2021-06-28,30.94
2021-06-29,30.55
2021-06-30,30.26
2021-07-01,30.82
2021-07-02,30.86
2021-07-06,31.0
2021-07-07,30.12
2021-07-08,29.65
2021-07-09,30.1
2021-07-12,29.74
2021-07-13,29.1
2021-07-14,29.34
2021-07-15,28.91
2021-07-16,28.87
2021-07-19,29.14
2021-07-20,29.61
2021-07-21,30.46
2021-07-22,30.92
2021-07-23,29.8
2021-07-26,29.66
2021-07-27,29.12
2021-07-28,29.74
2021-07-29,29.23
2021-07-30,29.01
2021-08-02,29.53
2021-08-03,29.51
2021-08-04,28.63
2021-08-05,29.56
2021-08-06,29.5
2021-08-09,29.1
2021-08-10,30.35
2021-08-11,29.93
2021-08-12,33.5
2021-08-13,34.21
2021-08-16,34.33
2021-08-17,35.38
2021-08-18,33.59
2021-08-19,34.1
2021-08-20,33.22
2021-08-23,33.24
2021-08-24,33.16
2021-08-25,33.3
2021-08-26,33.96
2021-08-27,34.25
2021-08-30,33.72
2021-08-31,33.89
2021-09-01,34.56
2021-09-02,35.61
2021-09-03,35.61
2021-09-07,35.64
2021-09-08,34.97
2021-09-09,34.68
2021-09-10,33.88
2021-09-13,33.83
2021-09-14,33.42
2021-09-15,33.72
2021-09-16,33.76
2021-09-17,34.03
2021-09-20,32.94
2021-09-21,32.89
2021-09-22,32.65
2021-09-23,33.38
2021-09-24,33.69
2021-09-27,33.54
2021-09-28,33.04
2021-09-29,33.98
2021-09-30,32.79
2021-10-01,33.33
2021-10-04,32.94
2021-10-05,32.53
2021-10-06,33.07
2021-10-07,32.84
2021-10-08,32.57
2021-10-11,33.21
2021-10-12,32.84
2021-10-13,33.15
2021-10-14,33.64
2021-10-15,34.89
2021-10-18,34.8
2021-10-19,35.06
2021-10-20,35.76
2021-10-21,35.36
2021-10-22,35.66
2021-10-25,36.91
2021-10-26,36.71
2021-10-27,35.72
2021-10-28,36.52
